SRAnumber,organism,tissue,general_celltype,specific_celltype,treatment_code,treatment_code_2,treated_or_like_treated,repnumber,keyword,exptype,mapped_reads,total_reads,percent_mapped,TSS,bidirectionals
SRR014283,human,lung,fetal_lung,IMR90,na,none,no,rep1-a,Core2008,GRO-seq,3434845,4555156,0.754056502,0.371914,15232
SRR014284,human,lung,fetal_lung,IMR90,na,none,no,rep1-b,Core2008,GRO-seq,3495177,4631165,0.754707941,0.381622,15421
SRR014285,human,lung,fetal_lung,IMR90,na,none,no,rep1-c,Core2008,GRO-seq,3482940,4632610,0.751831041,0.376792,15417
SRR014286,human,lung,fetal_lung,IMR90,na,none,no,rep2-a,Core2008,GRO-seq,3736843,4790987,0.779973521,0.376064,17981
SRR014287,human,lung,fetal_lung,IMR90,na,none,no,rep2-b,Core2008,GRO-seq,3513107,4598071,0.764039311,0.383317,17419
SRR065240,mouse,Myeloid,Macrophage,ThioMac,none,none,no,rep1,Escoubet-Lozach2011,GRO-seq,8145904,8726639,0.933452616,0.260656,23641
SRR065241,mouse,Myeloid,Macrophage,ThioMac,KLA_1h,KLA_1h,yes,rep1,Escoubet-Lozach2011,GRO-seq,7613669,8695946,0.87554235,0.265238,22237
SRR091798,mouse,muscle,C2C12,C2C12,none,none,no,rep1,Ji2011,GRO-seq,3972236,18122033,0.21919373,0.06478,2479
SRR097854,mouse,ESC,ESC,ESC,na,none,no,rep1-a,Min2011,GRO-seq,1867614,2675758,0.697975676,0.446848,11827
SRR097855,mouse,ESC,ESC,ESC,na,none,no,rep1-b,Min2011,GRO-seq,614617,836758,0.734521809,0.577079,5894
SRR097856,mouse,ESC,ESC,ESC,na,none,no,rep1-c,Min2011,GRO-seq,727299,1024381,0.709988764,0.57554,6937
SRR097857,mouse,ESC,ESC,ESC,na,none,no,rep1-d,Min2011,GRO-seq,568384,740880,0.767174171,0.581658,4418
SRR097858,mouse,ESC,ESC,ESC,na,none,no,rep2-a,Min2011,GRO-seq,2575882,3414438,0.754408778,0.419897,14210
SRR097859,mouse,ESC,ESC,ESC,na,none,no,rep2-b,Min2011,GRO-seq,464038,684085,0.678333833,0.596568,4187
SRR097860,mouse,ESC,ESC,ESC,na,none,no,rep2-c,Min2011,GRO-seq,446426,658638,0.677801767,0.598921,4024
SRR097861,mouse,ESC,ESC,ESC,na,none,no,rep2-d,Min2011,GRO-seq,584924,838304,0.697746879,0.554436,4806
SRR097862,mouse,ESC,ESC,ESC,na,none,no,rep3,Min2011,GRO-seq,6399475,7810520,0.819340454,0.323542,20741
SRR097863,mouse,embryonic_fibroblast,MEF,MEF,na,none,no,rep1,Min2011,GRO-seq,5999643,8144631,0.736637792,0.378917,14988
SRR097864,mouse,embryonic_fibroblast,MEF,MEF,na,none,no,rep2,Min2011,GRO-seq,5254148,7256744,0.724036565,0.351421,15005
SRR1015583,human,heart,AC16,AC16,vehicle,none,no,rep1,Luo2014,GRO-seq,19011221,22552183,0.84298806,0.24554,31221
SRR1015584,human,heart,AC16,AC16,vehicle,none,no,rep1,Luo2014,GRO-seq,21108268,23983780,0.880105972,0.214499,33506
SRR1015585,human,heart,AC16,AC16,TNFa_10min,TNFa_10min,yes,rep1,Luo2014,GRO-seq,18543996,21846644,0.848825843,0.232031,33336
SRR1015586,human,heart,AC16,AC16,TNFa_10min,TNFa_10min,yes,rep2,Luo2014,GRO-seq,16237770,18439747,0.880585292,0.192718,39083
SRR1015587,human,heart,AC16,AC16,TNFa_30min,TNFa_30min,yes,rep1,Luo2014,GRO-seq,13927907,16498888,0.844172468,0.217715,32221
SRR1015588,human,heart,AC16,AC16,TNFa_30min,TNFa_30min,yes,rep2,Luo2014,GRO-seq,19624126,22295988,0.880164001,0.196828,31647
SRR1015589,human,heart,AC16,AC16,TNFa_120min,TNFa_120min,yes,rep1,Luo2014,GRO-seq,17914005,20578322,0.870527976,0.188382,36219
SRR1015590,human,heart,AC16,AC16,TNFa_120min,TNFa_120min,yes,rep2,Luo2014,GRO-seq,20461768,24555585,0.83328367,0.210922,34079
SRR1015591,human,heart,AC16,AC16,control_notvechicle,none,no,rep1,Luo2014,GRO-seq,38895106,141172786,0.275514192,0.292886,29561
SRR1015592,human,heart,AC16,AC16,control_notvechicle,none,no,rep2,Luo2014,GRO-seq,29107648,88677146,0.32824295,0.260722,32318
SRR1015593,human,heart,AC16,AC16,a-amanitin_15min,a-amanitin_15min,yes,rep1,Luo2014,GRO-seq,90559403,201650863,0.449090084,0.236947,30931
SRR1015594,human,heart,AC16,AC16,a-amanitin_15min,a-amanitin_15min,yes,rep2,Luo2014,GRO-seq,107124411,228286817,0.469253601,0.235422,31641
SRR1035898,human,Umbilical,Endothelial,HUVEC,control_2hr,none,no,rep1,Kaikkonen2014,GRO-seq,19520658,21526798,0.90680732,0.199969,25624
SRR1035899,human,Umbilical,Endothelial,HUVEC,VEGFA_2hr,VEGFA_2hr,yes,rep1,Kaikkonen2014,GRO-seq,19707437,21199489,0.929618492,0.221148,24296
