motif,counts,distance,mds,ks_stat,pval_distance,pval_mds,pval_ks
HO_RARB_HUMAN.H10MO.D,18618.0,17.0947226376,-0.0349801577675,0.0371734839561,0.173657106395,2.80371281747e-11,4.97860965876e-06
HO_SOX18_HUMAN.H10MO.D,1654.0,98.5921119494,-0.102329250036,0.123233093736,0.0101460437204,4.69334997533e-08,6.17215743581e-06
HO_IKZF1_HUMAN.H10MO.C,50493.0,8.91512549487,-0.0183738247221,0.0191302359153,0.254136509885,2.79749112764e-10,0.000191112332089
HO_P63_HUMAN.H10MO.A,376.0,-174.872642368,0.187995337995,0.208690528797,0.0159901533228,0.000224266902407,0.000591783550482
HO_MNT_HUMAN.H10MO.D,7438.0,36.4741799038,-0.011364070173,0.0462732257182,0.0483527868202,0.147026429414,0.000666682459994
HO_RARG_HUMAN.H10MO.S,34514.0,12.0270506805,-0.0186732415441,0.0203746880124,0.199451768905,1.80596749555e-07,0.00152356277675
HO_SOX13_HUMAN.H10MO.D,13870.0,24.1749630743,-0.0138940200671,0.0306021547667,0.107239675295,0.00366222138453,0.00294591519189
HO_P53_HUMAN.H10MO.B,325.0,-163.387973623,0.173046060022,0.199756097561,0.0360179427527,0.0021489768072,0.00380670486998
HO_P73_HUMAN.H10MO.A,1503.0,-56.8806411912,0.0786441042941,0.0860071108808,0.19267745912,0.000182100960673,0.00777740653959
HO_RARA_HUMAN.H10MO.S,48132.0,7.60707710206,-0.013149686334,0.0140987555136,0.338206816351,8.36500452794e-06,0.0165770383768
HO_TBX15_HUMAN.H10MO.D,9069.0,26.2111329491,-0.00824892390749,0.0320471099046,0.0854857026992,0.333821367903,0.018564222909
HO_LHX4_HUMAN.H10MO.D,2244.0,-26.3263095106,-0.00274608521999,0.0627069009422,0.499285707981,0.741594260015,0.0232526954202
HO_FOXL1_HUMAN.H10MO.D,11331.0,-9.2126367109,-0.00647756716639,0.027532829088,0.586255861207,0.151062198145,0.0267775984269
HO_ETV2_HUMAN.H10MO.D,4122.0,34.4858800491,-0.0323606977357,0.0447680389105,0.19109678569,0.000855886192642,0.0312274509407
HO_FOSB_HUMAN.H10MO.C,1347.0,36.7225772295,-0.0514101602154,0.0764551986082,0.311643390778,0.0551289218123,0.0373264690086
HO_PRRX2_HUMAN.H10MO.C,40864.0,-11.3303134342,0.00510764109056,0.0138693362964,0.209585874587,0.0229371429253,0.0389506849643
HO_ONEC2_HUMAN.H10MO.D,1597.0,-49.5605697495,0.0219095940959,0.0682357234081,0.281549768314,0.047339823203,0.0466209325482
HO_NR1I2_HUMAN.H10MO.S,14447.0,-19.1005940521,0.00275647962757,0.0224930879593,0.199057630733,0.522701380395,0.0510292673336
HO_GATA6_HUMAN.H10MO.S,65603.0,-6.82332506377,0.00438249565859,0.0105068040091,0.335753851932,0.0186961608152,0.0532076872151
HO_SP2_HUMAN.H10MO.C,12313.0,-13.9660386759,0.0166445736066,0.0240049821392,0.0820061274858,0.0611041161293,0.0568176009437
HO_SOX5_HUMAN.H10MO.C,15763.0,-14.3765485171,-0.000608108828233,0.0209391041146,0.322450739264,0.864289882635,0.0623343929417
HO_IRF9_HUMAN.H10MO.C,416.0,-79.2341027944,0.0135035146134,0.125627436789,0.351519893449,0.647671157534,0.0701484545986
